Address,Finding count,First blocks,Last activity UTC,Latest event,Lifetime spent BTC,Spent after exposure BTC,Alternate activity address
15EmxXfWmD4UemererBjUVYjK4brjfGWPg,1,954422,2026-06-19T18:07:48Z,"spend −6,767 sats",0.00023901,0.00006767,
1A8TY7dxURcsRtPBs7fP6bDVzAgpgP4962,3,121481;122679,2026-04-25T04:23:36Z,"spend −1,000 sats",0.92003521,0.77003521,
1ETXiy1ZsdDPJraySncRWrAMPTqeuctzTo,1,942305,2026-03-26T11:31:25Z,spend −651 sats,0.00000000,0.00000000,bc1qjw0p3n7gny6pxaqn945n399k64j3a7setn6frj
1LXTbiSAKPwjDfADybhZWmTZY58DE3ukiE,1,939231,2026-03-04T06:48:04Z,"spend −67,776 sats",0.00000000,0.00000000,bc1q6ck3yuuq87clc9npl9l60uzsxmqztfqhvu6cwq
1CKHDLg52QxkzLEo9fn3Ghwhf7v24M2qYZ,2,938165;938251,2026-02-26T13:43:42Z,spend −623 sats,0.00003370,0.00001995,
1MUJAcc97vqZFz3QY8WJSvjwv3fu5bSX2K,1,938261,2026-02-25T15:12:46Z,"spend −1,000 sats",0.00072663,0.00031310,
1PiiuR5omBXSF9k8KKgMU1vbuZceLJZkJ5,1,938185,2026-02-25T05:08:56Z,spend −676 sats,0.00002032,0.00000676,
14BKXaYUeGuPpXc6gn7n3y5R6csZKbGuxY,1,934037,2026-01-28T01:10:03Z,"spend −9,700 sats",0.00019700,0.00000000,
12ekVy8duhBMLGd1JhxcgxrTN1fchmVcTo,1,175723,2026-01-23T20:24:26Z,"spend −20,517 sats",0.07523061,0.00023061,
1BMzWp77j7x3GKDYNbCP3df7YG3UEw1vVE,1,220772,2025-12-10T03:02:07Z,"spend −9,749 sats",6622.24696455,1930.26063167,
1PG8nYg3rfgRMthiJNstwxcyeV6bsfxbFP,1,895789,2025-09-09T22:55:59Z,"spend −2,000 sats",0.00015548,0.00015548,
1HyrRkc6GYWQGJ9rUCXQejBdCnU86Ym5xp,1,906733,2025-07-23T15:46:01Z,"spend −18,851 sats",0.00000000,0.00000000,bc1qhfpfp4khyx8g026elhn2hsax77m4ykvl57d7pr
